Job Title,Company Name,Location,Publication Date,Categories,Experience Level,Job Link,Full/Part Time
Pflichtpraktikant*in (w/m/d) Einsatz von KI-Methoden in der Produktionssteuerung,Siemens,"Munich, Germany",2023-02-02T23:38:48Z,Data and Analytics,Mid Level,https://www.themuse.com/jobs/siemens/pflichtpraktikantin-wmd-einsatz-von-kimethoden-in-der-produktionssteuerung-a0ce91,Full-time
IT Operations Analyst (f/m/d) DNS / Secure Mail,Siemens,"Munich, Germany",2023-01-28T23:37:48Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/siemens/it-operations-analyst-fmd-dns-secure-mail,Full-time
"VP, Treasury Services",Circle,Flexible / Remote,2024-01-04T23:01:56Z,Computer and IT,Senior Level,https://www.themuse.com/jobs/circle/vp-treasury-services-a9ef5a,
"Sales Operations Associate, Central Europe - Berlin, Germany",Uber,"Berlin, Germany",2023-12-10T00:21:16Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/uber/sales-operations-associate-central-europe-berlin-germany,
Information Security Specialist (m/f/d),Siemens,"Munich, Germany",2023-05-18T23:38:47Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/siemens/information-security-specialist-mfd-508df5,Full-time
IT Internal Controls and SOX Compliance Manager,Circle,Flexible / Remote,2023-11-22T23:02:05Z,Computer and IT,Senior Level,https://www.themuse.com/jobs/circle/it-internal-controls-and-sox-compliance-manager-58c7db,
IT Architect (w/m/d) Service & Integration,Siemens,"Munich, Germany",2023-04-28T23:39:08Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/siemens/it-architect-wmd-service-integration-b1adf7,Full-time
Senior Software Engineer - Process Mining,Celonis,"Munich, Germany",2024-01-25T23:07:01Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/celonis/senior-software-engineer-process-mining,
IT Solution Expert (w/m/d) Release Management,Siemens,"Berlin, Germany",2023-04-29T23:35:09Z,Computer and IT,Senior Level,https://www.themuse.com/jobs/siemens/it-solution-expert-wmd-release-management-499864,Full-time
Werkstudent*in (w/m/d) in der Elektronik Hardware Entwicklung,Siemens,"Berlin, Germany",2023-04-27T23:37:40Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/siemens/werkstudentin-wmd-in-der-elektronik-hardware-entwicklung,Part-time
Junior Applikateur (m/w/d) für Steuerungs- und Automatisierungstechnik im Applikationszentrum für Produktionsmaschinen,Siemens,"Stuttgart, Germany",2023-05-05T23:39:59Z,Computer and IT,Entry Level,https://www.themuse.com/jobs/siemens/junior-applikateur-mwd-fur-steuerungs-und-automatisierungstechnik-im-applikationszentrum-fur-produktionsmaschinen,Full-time
Fachmonteur (w/m/d) elektromechanische Anlagen,Siemens,"Munich, Germany",2023-03-10T23:45:26Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/siemens/fachmonteur-wmd-elektromechanische-anlagen-aecfba,
Project Solution Architect (w/m/d) Supply Chain IT,Siemens,"Munich, Germany",2023-04-28T23:38:02Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/siemens/project-solution-architect-wmd-supply-chain-it-5b0542,
Technical Support Specialist (New Grad),Samsara Inc.,Flexible / Remote,2024-01-27T10:18:35Z,Computer and IT,Entry Level,https://www.themuse.com/jobs/samsarainc/technical-support-specialist-new-grad,
IT Internal Controls and SOX Compliance Manager,Circle,Flexible / Remote,2023-11-22T23:02:05Z,Computer and IT,Senior Level,https://www.themuse.com/jobs/circle/it-internal-controls-and-sox-compliance-manager-089104,
"Senior Data Analyst, Financial Reporting",Circle,Flexible / Remote,2024-01-03T23:02:01Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/circle/senior-data-analyst-financial-reporting-46085f,
IT Solution Expert (w/m/d) Release Management,Siemens,"Berlin, Germany",2023-04-28T23:39:08Z,Computer and IT,Senior Level,https://www.themuse.com/jobs/siemens/it-solution-expert-wmd-release-management-c17bd7,
Solution Architect (XHQ),Siemens,"Flexible / Remote, Făgăraș, Romania",2023-05-12T23:42:51Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/siemens/solution-architect-xhq-72cb28,Full-time
IT Partner Professional (f/m/d),Siemens,"Flexible / Remote, Krakow, Poland",2023-06-01T23:45:19Z,Computer and IT,Senior Level,https://www.themuse.com/jobs/siemens/it-partner-professional-fmd-4912b6,Full-time
Technical Account Manager (w/m/d) Food & Beverage,Siemens,"Stuttgart, Germany",2023-04-15T23:38:10Z,Data and Analytics,Mid Level,https://www.themuse.com/jobs/siemens/technical-account-manager-wmd-food-beverage-484c79,Full-time
Senior IT Specialist-Okta,Samsara Inc.,Flexible / Remote,2024-02-06T23:07:36Z,Computer and IT,Senior Level,https://www.themuse.com/jobs/samsarainc/senior-it-specialistokta,
Technical Support Specialist,Samsara Inc.,Flexible / Remote,2024-01-27T10:18:35Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/samsarainc/technical-support-specialist-8c2fba,
IT Internal Controls and SOX Compliance Manager,Circle,Flexible / Remote,2023-11-22T23:02:05Z,Computer and IT,Senior Level,https://www.themuse.com/jobs/circle/it-internal-controls-and-sox-compliance-manager-282e17,
IT Partner Professional (f/m/d),Siemens,"Flexible / Remote, Wroclaw, Poland",2023-06-01T23:45:19Z,Computer and IT,Senior Level,https://www.themuse.com/jobs/siemens/it-partner-professional-fmd-5d0549,Full-time
Senior IT Specialist-Okta,Samsara Inc.,Flexible / Remote,2024-02-06T23:07:36Z,Computer and IT,Senior Level,https://www.themuse.com/jobs/samsarainc/senior-it-specialistokta-4b7d9b,
"VP, Treasury Services",Circle,Flexible / Remote,2024-01-04T23:01:56Z,Computer and IT,Senior Level,https://www.themuse.com/jobs/circle/vp-treasury-services-44dba5,
Senior IT Strategy Manager (f/m/d),Siemens,"Munich, Germany",2023-02-08T23:37:39Z,Computer and IT,Senior Level,https://www.themuse.com/jobs/siemens/senior-it-strategy-manager-fmd-bab17b,Full-time
IT Internal Controls and SOX Compliance Manager,Circle,Flexible / Remote,2023-11-22T23:02:05Z,Computer and IT,Senior Level,https://www.themuse.com/jobs/circle/it-internal-controls-and-sox-compliance-manager-d5af4b,
Senior IT Project Manager (f/m/d) Global PLM Implementation,Siemens,"Munich, Germany",2023-04-18T23:40:33Z,Computer and IT,Senior Level,https://www.themuse.com/jobs/siemens/senior-it-project-manager-fmd-global-plm-implementation-a88067,
Werkstudent*in (w/m/d) IT / Informatik - eMobility,Siemens,"Berlin, Germany",2023-05-09T23:40:12Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/siemens/werkstudentin-wmd-it-informatik-emobility,Part-time
Teamassistenz (w/m/d),Siemens,"Berlin, Germany",2023-01-31T23:40:12Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/siemens/teamassistenz-wmd-29767d,
IT Operations Analyst (w/m/d) DNS / Secure Mail,Siemens,"Munich, Germany",2023-01-28T23:37:48Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/siemens/it-operations-analyst-wmd-dns-secure-mail-8bc051,
Elektromonteur (w/m/d) Fahrleitungs- und Stromversorgungsanlagen,Siemens,"Berlin, Germany",2023-04-29T23:34:35Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/siemens/elektromonteur-wmd-fahrleitungs-und-stromversorgungsanlagen-141c7c,
Mechatroniker (w/m/d) Fahrleitungs- und Stromversorgungsanlagen,Siemens,"Berlin, Germany",2023-04-28T23:38:31Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/siemens/mechatroniker-wmd-fahrleitungs-und-stromversorgungsanlagen-de7dbb,Full-time
"Senior Data Analyst, Financial Reporting",Circle,Flexible / Remote,2024-01-03T23:02:01Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/circle/senior-data-analyst-financial-reporting-2e614b,
Werkstudent (w/m/d) im SHERPA X  Transformationsprogramm,Siemens,"Berlin, Germany",2023-05-11T23:41:41Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/siemens/werkstudent-wmd-im-sherpa-x-transformationsprogramm-f75292,Part-time
SalesForce QA and Support,Siemens,"Flexible / Remote, Mexico City, Mexico",2023-04-18T23:40:33Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/siemens/salesforce-qa-and-support-edee4c,Full-time
Software Engineer - Machine Learning,Celonis,"Munich, Germany",2024-02-07T23:07:50Z,Data and Analytics,Mid Level,https://www.themuse.com/jobs/celonis/software-engineer-machine-learning-7a10bb,
"Data Architect (Northeast zone - PA, NY, OH)",Philips,Flexible / Remote,2024-02-04T13:01:31Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/philips/data-architect-northeast-zone-pa-ny-oh,
